Category,Unhealthy_Food,Healthy_Alternative,Recipe_URL,Recipe_Ingredients,Recipe_Instructions
Vegetarian,Aloo Tikki,Baked Sweet Potato Tikki,https://www.archanaskitchen.com/sweet-potato-tikki-recipe,,
Vegetarian,Fried Bhindi,Roasted Bhindi,https://www.vegrecipesofindia.com/bhindi-fry-okras-fry/,,
Vegetarian,Pav Bhaji with butter,Olive oil Bhaji with multigrain pav,https://www.vegrecipesofindia.com/pav-bhaji-recipe-mumbai-pav-bhaji/,this masala powder is an absolutely essential ingredient in the pav bhaji recipe as you can only achieve the most authentic and perfect flavor by using this unique masala in it. | 10. mix everything very well. deglaze while mixing so that any ingredients stuck at the bottom of the pan is removed.  | there are many variations of making this snack. the bhaji remains the same in most variants and some more ingredients or spice blends are added.  ,"there are times when i make this dish in the instant pot. thus, sharing the same here as well. the best thing about this method is that apart from being easy, it saves time as well. when you have unexpected guests or are in a hurry, go for this procedure. | obviously, the cooking method has to be different when using an instant pot. unlike the street-side stalls, where it is made on a very large tawa (flat griddle), you can cook everything together in the instant pot to make it quicker."
Vegetarian,Deep-fried Samosa,Baked Samosa,https://www.vegrecipesofindia.com/punjabi-samosa-recipe/,,
Vegetarian,Fried Rice,Brown Rice Veg Pulao,https://www.indianhealthyrecipes.com/vegetable-pulao-recipe/,,"i share the traditional andhra style coconut milk pulao recipe in this post along with instructions to make it in a pot, pressure cooker and instant pot. | i use fresh homemade coconut milk, a mix of thick and thin milk which i detailed below in the stepwise instructions. if using canned coconut milk, dilute it with water as mentioned in the recipe notes below. | measure this and pour more plain water to make it 2 cups coconut milk for pot method. if using ip you will only need 1 ¼ cup and for the indian stovetop cooker with whistle, you will need only 1¾ cup. (i don’t use a cloth to strain.)"
Vegetarian,Chole with refined oil,Oil-free Chole,https://www.vegrecipesofindia.com/punjabi-chole-recipe-chana-masala/,,
Vegetarian,Potato Curry,Lauki Curry,https://www.vegrecipesofindia.com/lauki-curry-recipe/,,
Vegetarian,Deep-fried Pakora,Air-fried Pakora,https://www.cookwithmanali.com/air-fryer-paneer-pakora/,,
Vegetarian,Cheese Paratha,Tofu Spinach Paratha,https://www.archanaskitchen.com/spinach-and-tofu-paratha,,
Vegetarian,White Rice,Quinoa Pulao,https://www.vegrecipesofindia.com/quinoa-pulao-recipe/,,
Non-Vegetarian,Deep-fried Chicken,Grilled Chicken,https://www.indianhealthyrecipes.com/grilled-chicken-recipe-indian-style/,,
Non-Vegetarian,Mutton Curry with cream,Lean Mutton Curry,https://www.archanaskitchen.com/chettinad-mutton-curry-recipe,,
Non-Vegetarian,Chicken Nuggets,Air-fried Chicken Bites,https://www.wholesomeyum.com/air-fryer-chicken-nuggets/,"wholesome yum - easy healthy recipes. 10 ingredients or less. | wholesome yum is a food blog for healthy recipes, all with 10 ingredients or less. browse over 1000 easy, healthy dishes with whole food ingredients! | i’ve been creating easy, healthy recipes using whole, real food for over a decade — all with 10 ingredients or less, and no refined sugar. i’m excited to share them with you!",
Non-Vegetarian,Chicken Biryani with ghee,Brown Rice Chicken Biryani,https://www.indianhealthyrecipes.com/chicken-biryani-recipe/,"as mentioned earlier i share 2 recipes here and both the recipes use the same ingredients but the quantities vary slightly due to the difference in the cooking methods. | to make a good biryani, always use best quality ingredients. the choice of good quality basmati rice, whole spices, spice powders, chicken & ghee all contribute to the flavors of chicken biryani.  | i am also sharing the ingredients for an instant biriyani masala powder. if you do not have a ready made or store bought masala, you can make it in just few minutes.","the pot is sealed to trap the steam and is dum cooked on a low heat for the most tender and flavorsome dish. this is known as kachi biryani & i have shared that traditional hyderabadi biryani here. cooking this kind of a biryani requires a bit of expertise and understanding the dum pukht method correctly. | innovative home cooks and chefs have come-up with many new and easier methods to cook biryani, as a result pakki biryani and my one pot biryani shared below came into existence. | as mentioned earlier i share 2 recipes here and both the recipes use the same ingredients but the quantities vary slightly due to the difference in the cooking methods."
Non-Vegetarian,Fried Fish,Baked Fish with Herbs,https://www.simplyrecipes.com/recipes/herb_roasted_fish/,,
Non-Vegetarian,Butter Chicken,Low-fat Butter Chicken,https://www.indianhealthyrecipes.com/healthy-butter-chicken-recipe/,,
Non-Vegetarian,Chicken Lollipop,Oven-baked Chicken Lollipop,https://www.archanaskitchen.com/baked-chicken-lollipop-recipe,,
Non-Vegetarian,Egg Curry with oil,Boiled Egg Curry,https://www.indianhealthyrecipes.com/egg-curry-recipe/,,
Non-Vegetarian,Chicken Sandwich with mayo,Grilled Chicken Wrap with hummus,https://www.cookinglight.com/recipes/grilled-chicken-wrap,,
Non-Vegetarian,Fish Fry,Steamed Fish with Garlic,https://www.tarladalal.com/steamed-fish-in-garlic-sauce-32930r,,
Vegan,Vegan Burger with processed soy,Lentil & Quinoa Burger,https://www.loveandlemons.com/vegan-quinoa-burger/,,
Vegan,Coconut Milk Ice Cream,Banana Almond Ice Cream,https://www.feastingonfruit.com/banana-nice-cream-3-ways/,,
Vegan,White Pasta,Zucchini Noodles,https://simpleveganblog.com/zucchini-noodles-with-pesto/,"i share easy and delicious vegan recipes perfect for everyday meals and special occasions, all made with simple, everyday ingredients.",
Vegan,Vegan Butter Naan,Whole Wheat Oil Roti,https://www.vegrecipesofindia.com/roti-recipe-phulka-recipe/,,
Vegan,Vegan Cheese Pizza,Cauliflower Crust Pizza,https://www.delish.com/cooking/recipe-ideas/a19885332/cauliflower-pizza-crust-recipe/,the full list of ingredients and instructions can be found in the recipe below. ,"this crust requires a bit of preparation, but it’s worth taking the extra steps. first, we’re going to make cauliflower rice. bring water to a boil in a skillet, then season well with salt. add your pre-chopped cauliflower florets in an even layer (don’t try to overcrowd), and cook until they are crisp yet tender. then, transfer the pieces to either a dish towel or paper towels, and squeeze to drain all the water out. don’t skip this step—it’s very important to take your time squeezing all the water out so that you don’t get a soggy crust. once all the water is out, add the drained cauliflower to a food processor and pulse until grated.  | the full list of ingredients and instructions can be found in the recipe below. "
Vegan,Deep-fried Tofu,Air-fried Tofu,https://www.noracooks.com/crispy-baked-tofu/,,
Vegan,Vegan Mayo Sandwich,Avocado Chickpea Sandwich,https://simpleveganblog.com/chickpea-salad-sandwich/,"i share easy and delicious vegan recipes perfect for everyday meals and special occasions, all made with simple, everyday ingredients.",
Vegan,Processed Vegan Sausages,Jackfruit Tikka Wrap,https://www.feastingathome.com/indian-jackfruit-wraps/,,
Vegan,Fried Falafel,Baked Falafel,https://minimalistbaker.com/baked-falafel/,"this recipe is simple, requiring just 7 ingredients. plus, it’s seriously well spiced with infusions from both garlic and cumin for a tangy, smoky flavor that i absolutely adore. | hi moi, we have several versions of falafel on the site using different methods and ingredients. here are some of the others: https://minimalistbaker.com/easy-vegan-falafel/, https://minimalistbaker.com/classic-vegan-falafel-gf/, https://minimalistbaker.com/kale-falafel-hummus-wraps/. hope that helps! | i just made this recipe and it turned out beautifully. admittedly, l eyeballed the measurements, but l added all the above ingredients until l achieved a lovely clingy texture. i also added a splash of olive oil and some fresh mint leaves for good measure. am eating it tonight with homemade hummus in a wrap with veggies. yum! thanks for the recipe!","hi marisa, sorry you had trouble with the texture. we’ve since improved upon our falafel methods and highly recommend this recipe! | hi moi, we have several versions of falafel on the site using different methods and ingredients. here are some of the others: https://minimalistbaker.com/easy-vegan-falafel/, https://minimalistbaker.com/classic-vegan-falafel-gf/, https://minimalistbaker.com/kale-falafel-hummus-wraps/. hope that helps! | hi julie. sorry you had trouble with the texture. i’ve since improved upon my falafel methods and highly recommend this recipe!"
Vegan,Vegan Pancakes with sugar,Oats Banana Pancakes,https://www.veganricha.com/oatmeal-pancakes/,,
Dairy,Full-Fat Milkshake,Almond Milk Smoothie,https://www.indianveggiedelight.com/banana-almond-smoothie/,,
Dairy,Cheese Dip,Greek Yogurt Dip,https://www.simplyrecipes.com/recipes/herbed_yogurt_cheese_dip/,,
Dairy,Cream Pasta,Cottage Cheese Sauce Pasta,https://www.archanaskitchen.com/creamy-cottage-cheese-pasta,,
Dairy,Paneer Pakora,Grilled Paneer,https://www.vegrecipesofindia.com/tandoori-paneer-tikka-oven-stovetop/,,
Dairy,Cheese Pizza,Thin Crust Veg Pizza,https://www.vegrecipesofindia.com/veg-pizza-recipe/,"i promise you’ll never want to order delivery again after you see how easy it is to make pizza at home using fresh ingredients. | not only is this homemade pizza recipe wholesome to make with no artificial ingredients, you don’t need any special kitchen equipment either. ",this recipe includes instructions for how to create a chewy crust that’s lightly crisp on the bottom using all-purpose flour or bread flour. it makes a dough that is far better (and cheaper!) than any store bought dough or restaurant pizza i have tried. | i hear you! i know that every kitchen does not have a pizza stone. so i have kept this recipe simple enough where you do not need a pizza stone. just use a metal pan or tray and you will get a crisp crust if you follow my outlined steps below.  | usually instant yeast can be mixed directly in the flour or in water at room temperature. but i am detailing this method as it can be implemented if you are using dry active yeast. add 2 teaspoons dry active yeast for this pizza crust recipe. 
Dairy,Butter Paratha,Ghee-free Tawa Roti,https://www.indianhealthyrecipes.com/chapati-recipe-roti-recipe/,,
Dairy,Ice Cream,Frozen Yogurt,https://www.liveeatlearn.com/how-to-make-frozen-yogurt/,,
Dairy,Malai Kofta,Baked Kofta in Tomato Gravy,https://www.vegrecipesofindia.com/malai-kofta/,"‘malai’ means cream and ‘kofta’ are fried balls of various ingredients, popular not only in indian cuisine, but also in middle eastern, balkan and asian meals as well.  | 3. add the following listed ingredients to the mashed potatoes:",
Dairy,Milk Tea,Herbal Tulsi Tea,https://www.indianhealthyrecipes.com/tulsi-tea-recipe/,,
Dairy,Creamy Lassi,Low-fat Curd Smoothie,https://www.indianhealthyrecipes.com/sweet-lassi-recipe/,,
Desserts,Gulab Jamun,Baked Jamun with Dates Syrup,https://www.vegrecipesofindia.com/baked-gulab-jamun/,,
Desserts,Rasgulla,Low-Sugar Rasgulla,https://www.tarladalal.com/rasgulla--rosogolla-rasagola--4070r,,
Desserts,Chocolate Brownie,Oats Banana Brownie,https://www.veganricha.com/gluten-free-banana-brownies/,,
Desserts,Ice Cream,Banana Almond Ice Cream,https://www.feastingonfruit.com/banana-nice-cream-3-ways/,,
Desserts,Cheesecake,Greek Yogurt Cheesecake,https://www.eatingwell.com/recipe/249336/no-bake-greek-yogurt-cheesecake/,,
Desserts,Custard,Oats Milk Custard,https://www.archanaskitchen.com/eggless-oats-milk-custard,,
Desserts,Halwa with ghee,Carrot Halwa with Dates & Coconut Oil,https://www.indianhealthyrecipes.com/gajar-ka-halwa-recipe/,,
Desserts,Kheer with sugar,Jaggery Rice Kheer,https://www.vegrecipesofindia.com/gur-wali-kheer-recipe/,,
Desserts,Ladoo with sugar,Ragi Peanut Ladoo,https://www.vegrecipesofindia.com/ragi-ladoo-recipe/,"ragi laddu recipe with step by step photos. this is a quick, easy and tasty ragi ladoo made with three ingredients – ragi (finger millet), jaggery and ghee. | for now sharing this quick recipe of ragi ladoo. you really don’t have to stress over making these ladooos as it requires only 3 main ingredients. get your ragi flour, powdered jaggery and ghee in place and start making the ladoos. other than these, you would need a bit of cardamom powder that goes as the flavoring in this dish.",
Desserts,Ice Cream Sandwich,Fruit & Nut Yogurt Pops,https://www.eatingwell.com/recipe/250631/fruit-yogurt-ice-pop/,,
